"column2","name","star","review","rating","price","address"
"135","""Hudson New York, Central Park""","","6965","7.2","","Hell's Kitchen"
"136","Hyatt Centric Times Square New York","","1471","8.9","438","New York"
"137","Hyatt Herald Square Midtown","4","1537","8.5","433","New York"
"138","Hyatt Place New York","","2029","8.4","386","New York"
"139","Hyatt Union Square New York","4","331","8.7","454","New York"
"140","InterContinental New York Barclay Hotel","4","447","9.1","475","Midtown East"
"141","InterContinental New York Times Square","","3196","8","495","Hell's Kitchen"
"142","Interfaith East Village","2","3","6.3","","East Village"
"143","Jet Luxury @ The Trump SoHo","5","95","8.7","655","SoHo"
"144","La Casa De Mis Primos ADAM","","","","","Hell's Kitchen"
"145","La Casa De Mis Primos MIKE","2","","","","Hell's Kitchen"
"146","""Langham Place, New York, Fifth Avenue""","","910","9.2","806","New York"
"147","""Langham Place, New York, Fifth Avenue""","5","910","9.2","806","New York"
"148","Leon Hotel","3","881","8.5","365","Chinatown"
"149","Lex Hotel NYC","3","505","8.9","409","Kips Bay"
"150","Longacre House","2","","","","Hell's Kitchen"
"151","Lowell Hotel","5","51","9.1","","Upper East Side"
"152","Luxurious Central Park South 2 Bedroom Apartment","2","","","","New York"
"153","Luxurious Doorman Building 2 Bedroom With Gym - Lincoln Center","2","","","","Upper West Side"
"154","Luxury 2BR 2 BATH by Grand Central","2","","","","Murray Hill"
"155","Luxury Three Bedroom Apartment on Park Ave & 31st Street - Midtown East","3","35","8.1","","New York"
"156","Magnificent Central Park South One Bedroom Apartment","2","","","","New York"
"157","Manhattan Lodging","2","11","5.6","","Hell's Kitchen"
"158","Manhattan NYC-an Affinia hotel","4","1939","7.8","","Chelsea"
"159","Manhattan Studio Apartment mid-west","2","8","8.3","","Hell's Kitchen"
"160","Manhattan Studio Apartment mid-west","","8","8.3","","Hell's Kitchen"
"161","Manhattan Studio Apartments","1","136","7.1","","New York"
"162","Manhattan West Hotel","","1223","7.1","339","Hell's Kitchen"
"163","Manhattan West Hotel","3","1223","7.1","339","Hell's Kitchen"
"164","""Marriott Vacation Club Pulse, New York City""","","1134","8.7","365","New York"
"165","Midtown East Studio","","7","6.4","","Midtown East"
"166","Midtown West 4 bed 2 bath","","3","7.7","","Hell's Kitchen"
"167","Millenium Hilton","4","1599","8.2","508","Wall Street - Financial District"
"168","Millenium Hilton","","1599","8.2","508","Wall Street - Financial District"
"169","Millennium Broadway Hotel Times Square","4","2707","7.9","288","New York"
"170","Morgans Hotel - A Morgans Original","4","736","8.4","","Murray Hill"
"171","Morningside Inn","1","70","5.9","","Upper West Side"
"172","My City House","2","34","7","","New York"
"173","New York Apartments","2","93","6.5","","New York"
"174","New York City Gottaspot","","12","7.4","","New York"
"175","New York Marriott Downtown","4","740","8.4","377","Wall Street - Financial District"
"176","New York Marriott Marquis","4","6114","8.2","531","New York"
"177","New York Marriott Marquis","","6114","8.2","531","New York"
"178","NobleDEN Hotel","4","714","9.1","340","New York"
"179","Nolitan Hotel SoHo - New York","4","926","8.7","509","New York"
"180","Nolitan Hotel SoHo - New York","","926","8.7","509","New York"
"181","Nomo Soho","4","1671","8.2","","SoHo"
"182","Nomo Soho","","1671","8.2","","SoHo"
"183","NY Away - Central Park UWS 2-Bedroom - 14D","","3","4.7","","Upper West Side"
"184","NY Away - Murray Hill 2 -Bedroom - N12M","","","","","New York"
"185","Oakwood at the Nash","","195","8.6","","Murray Hill"
"186","Oakwood Aurora Midtown East","2","","","","Murray Hill"
"187","One Bedroom Apartment - Allen Street # 28","2","25","7.7","","Lower East Side"
"188","onefinestay - Midtown private homes","5","","","","New York"
"189","onefinestay _�� Downtown East private homes II","5","","","","East Village"
"190","onefinestay _�� Downtown East private homes II","5","3","9","","East Village"
"191","Paramount Times Square","","1958","6.9","","New York"
"192","Park Ave Apartments Midtown Next to Times Square","3","54","7.1","","New York"
"193","Park Central","","5107","7.8","","New York"
"194","Park Lane Hotel on Central Park","5","7332","7.7","","New York"
"195","Park Lane Hotel on Central Park","","7332","7.7","","New York"
"196","Park Savoy Hotel","2","764","6.6","","New York"
"197","Park South Hotel","","334","8.5","499","New York"
"198","PermaGO FiDi","2","10","8.5","","Wall Street - Financial District"
"199","Pod 51","","5991","8","155","Midtown East"
"200","Radisson Martinique on Broadway","4","7045","8.2","395","New York"
"201","Radisson Martinique on Broadway","","7045","8.2","395","New York"
"202","Ramada New York Eastside","3","2348","7.7","245","Kips Bay"
"203","Ramada New York Eastside","","2348","7.7","245","Kips Bay"
"204","Redford Hotel","2","37","6.8","279","Lower East Side"
"205","Refinery Hotel - New York","","1143","8.9","539","New York"
"206","Renaissance New York Midtown Hotel","4","562","8.9","399","New York"
"207","Renovated 3 Bedroom Loft Manhattan #44","2","9","8","","New York"
"208","Residence Inn by Marriott New York Manhattan/Times Square","4","2861","8.3","509","New York"
"209","Room in Shared Apartment Steps from Times Square","","","","","Hell's Kitchen"
"210","Room Mate Grace Boutique Hotel","3","302","8.6","440","New York"
"211","Row NYC at Times Square","4","9904","7.2","332","New York"
"212","Royalton Times Square","4","620","8.1","","New York"
"213","","","","","",""
"214","Sanctuary NYC Retreats","4","377","8.4","","Lower East Side"
"215","Sephora Inn","2","","","360","Midtown East"
"216","Sheraton Tribeca New York Hotel","4","2601","7.8","","Tribeca"
"217","Sheraton Tribeca New York Hotel","","2601","7.8","","Tribeca"
"218","Shoreham Hotel","4","965","7.7","","New York"
"219","Smyth - A Thompson Hotel","5","220","8.5","333","Tribeca"
"220","Sofitel New York","5","1098","8.6","","New York"
"221","Soho Grand Hotel","4","2216","8.5","449","SoHo"
"222","Soho Grand Hotel","","2216","8.5","449","SoHo"
"223","Sohotel","","1612","8.1","379","New York"
"224","Spacious 2 Bedroom in the Heart of Manhattan","","","","","New York"
"225","Studio Apartment - 39th Street","","","","","Murray Hill"
"226","Studio Apartment - 39th Street","3","","","","Murray Hill"
"227","Studio Apartment - East 31st Street #30","2","27","7.3","","New York"
"228","Studio Apartment - Financial District","2","3","7.7","","Wall Street - Financial District"
"229","Studio Apartments - West 31st Street","","135","6.6","499","New York"
"230","Studio Plus - Apartment Suites","","42","6.9","","New York"
"231","Studios Midtown Manhattan","","94","8.2","","New York"
"232","Stunning Apartment with Spectacular Views Near 5th Ave","2","","","","New York"
"233","Sugar Hill Harlem Inn","3","253","7.2","175","Harlem"
"234","Sugar Hill Suites","3","119","6.7","","Harlem"
"235","Superior Times Square Apartments","","90","6","","Hell's Kitchen"
"236","The Bernic Hotel","4","","","377","Midtown East"
"237","The Court - A St Giles Hotel","","1449","7.9","359","Murray Hill"
"238","The Court - A St Giles Hotel","4","1449","7.9","359","Murray Hill"
"239","The French Quarters","","1479","9.3","","Hell's Kitchen"
"240","The Gallivant Times Square","","5957","7.4","","New York"
"241","The GEM Hotel - Chelsea","4","784","8","311","Chelsea"
"242","The Gotham - Corporate Apartment","2","","","","Kips Bay"
"243","The Grand NYC Apartments","2","255","5.5","109","New York"
"244","The Gregory","","1593","8.1","399","New York"
"245","The Gregory","","1593","8.1","","New York"
"246","The High Line Hotel","4","259","8.6","","Chelsea"
"247","The James New York","5","297","8.5","509","SoHo"
"248","The Jewel Facing Rockefeller Center","4","1146","8.6","431","New York"
"249","The Kimberly Hotel & Suites","4","499","9","307","Midtown East"
"250","The Knickerbocker","","2464","9","595","New York"
"251","The Knickerbocker","5","2464","9","595","New York"
"252","The London NYC","5","1585","8.5","699","New York"
"253","The London NYC","","1585","8.5","699","New York"
"254","The Manhattan at Times Square","4","6629","7.1","386","New York"
"255","The Mansfield Hotel","4","881","7.3","","New York"
"256","The Mark New York","5","339","9.1","","Upper East Side"
"257","The Marlton Hotel","4","1561","8.9","","Greenwich Village"
"258","The New York EDITION","5","622","9","","New York"
"259","The New York EDITION","5","622","9","756","New York"
"260","The Nomad Suites","","12","6.6","","New York"
"261","The Park Ave North","3","244","7.4","189","East Harlem"
"262","The Pearl Hotel","","1104","8.9","630","New York"
"263","The Peninsula New York","5","127","8.5","1100","New York"
"264","""The Pierre, A Taj Hotel, New York""","5","281","8.9","871","Upper East Side"
"265","The Plaza","5","444","8.8","","New York"
"266","The Premier Hotel New York","4","474","8.5","467","New York"
"267","The Quin","","1806","8.7","669","New York"
"268","The Quin","5","1806","8.7","669","New York"
"269","The Redbury New York","4","2039","8.1","","New York"
"270","The Redbury New York","","2039","8.1","499","New York"
"271","The Renwick","","1441","8.6","","Murray Hill"
"272","The Renwick","","1441","8.6","559","Murray Hill"
"273","The Renwick","4","1441","8.6","559","Murray Hill"
"274","The Rio Hostel and Hotel on Central Park","3","77","6.7","","Upper West Side"
"275","The Roger","4","2616","8.5","355","New York"
"276","The Roxy Hotel Tribeca","4","965","8.8","373","Tribeca"
"277","The Skyline Hotel New York","3","846","7.7","","Hell's Kitchen"
"278","The Standard - East Village","4","454","8.6","479","East Village"
"279","""The Standard, High Line New York""","4","2329","8.3","485","Greenwich Village"
"280","""The Standard, High Line New York""","","2329","8.3","485","Greenwich Village"
"281","The Surrey","5","298","8.9","","Upper East Side"
"282","The Time New York","","2659","8","479","New York"
"283","The Towers of the Waldorf Astoria","5","384","8.4","940","Midtown East"
"284","The Tuscany - A St Giles Signature Hotel","4","713","8.6","349","Murray Hill"
"285","The William","4","592","9.1","","Murray Hill"
"286","Three Bedroom Apartment - Upper West Side","2","","","","Upper West Side"
"287","Three Bedroom Apartment on 9th Avenue","2","5","9.8","","Hell's Kitchen"
"288","Three Bedroom East Village Bungalow","2","","","","East Village"
"289","Tier31 by ABRIKIM","2","3","8.9","","New York"
"290","Times Square Studio","2","5","9.8","","New York"
"291","Times Square Studio 46","","24","9","","New York"
"292","Times Square West One Bedroom Apartment","2","","","","Hell's Kitchen"
"293","Today House","2","10","8.8","","New York"
"294","Today House on Broadway","2","","","","New York"
"295","TRYP by Wyndham Times Square South","","3781","8.5","316","Hell's Kitchen"
"296","Two Bedroom Apartment - Midtown East","2","90","7.3","","New York"
"297","Two Bedroom Apartment - Upper West Side","2","","","","Upper West Side"
"298","Two Bedroom Townhouse","2","16","8.8","","Harlem"
"299","Vanderbilt YMCA","3","5338","7.2","","Midtown East"
"300","Viceroy Central Park New York","","1720","8.3","544","New York"
"301","Viceroy Central Park New York","5","1720","8.3","544","New York"
"302","W New York - Union Square","5","159","8.3","669","New York"
"303","Waldorf Astoria New York","","5696","7.9","605","Midtown East"
"304","Walker Hotel Greenwich Village","4","1553","8.7","525","Greenwich Village"
"305","Walker Hotel Greenwich Village","","1553","8.7","525","Greenwich Village"
"306","Warwick New York","5","2946","8.7","530","New York"
"307","Warwick New York","","2946","8.7","530","New York"
"308","Wellington Hotel","3","5345","7.5","359","New York"
"309","Wingate by Wyndham Manhattan Midtown","3","884","7.7","322","New York"
"310","World Center Hotel","","1036","8.6","359","Wall Street - Financial District"
"311","Wyndham Garden Chinatown","4","870","8.2","399","Chinatown"
"312","Yorkville Apartments -Upper East Side","2","32","6.1","","Upper East Side"
"313","","","","","",""
"314","","","","","",""
"315","","","","","",""
"316","","","","","",""
"317","","","","","",""
"318","","","","","",""
"319","","","","","",""
"320","","","","","",""
"321","","","","","",""
"322","","","","","",""
"323","","","","","",""
"324","","","","","",""
"325","","","","","",""
"326","","","","","",""
"327","","","","","",""
"328","","","","","",""
"329","","","","","",""
"330","","","","","",""
"331","","","","","",""
"332","","","","","",""
"333","","","","","",""
"334","","","","","",""
"335","","","","","",""
"336","","","","","",""
"337","","","","","",""
"338","","","","","",""
"339","","","","","",""
"340","","","","","",""
"341","","","","","",""
"342","","","","","",""
"343","","","","","",""
"344","","","","","",""
"345","","","","","",""
"346","","","","","",""
"347","","","","","",""
"348","","","","","",""
"349","","","","","",""
"350","","","","","",""
"351","","","","","",""
"352","","","","","",""
"353","","","","","",""
"354","","","","","",""
"355","","","","","",""
"356","","","","","",""
"357","","","","","",""
"358","","","","","",""
"359","","","","","",""
"360","","","","","",""
"361","","","","","",""
"362","","","","","",""
"363","","","","","",""
"364","","","","","",""
"365","","","","","",""
"366","","","","","",""
"367","","","","","",""
"368","","","","","",""
"369","","","","","",""
"370","","","","","",""
"371","","","","","",""
"372","","","","","",""
"373","","","","","",""
"374","","","","","",""
"375","","","","","",""
"376","","","","","",""
"377","","","","","",""
"378","","","","","",""
"379","","","","","",""
"380","","","","","",""
"381","","","","","",""
"382","","","","","",""
"383","","","","","",""
"384","","","","","",""
"385","","","","","",""
"386","","","","","",""
"387","","","","","",""
"388","","","","","",""
"389","","","","","",""
"390","","","","","",""
"391","","","","","",""
"392","","","","","",""
"393","","","","","",""
"394","","","","","",""
"395","","","","","",""
"396","","","","","",""
"397","","","","","",""
"398","","","","","",""
"399","","","","","",""
"400","","","","","",""
"401","","","","","",""
"402","","","","","",""
"403","","","","","",""
"404","","","","","",""
"405","","","","","",""
"406","","","","","",""
"407","","","","","",""
"408","","","","","",""
"409","","","","","",""
"410","","","","","",""
"411","","","","","",""
"412","","","","","",""
"413","","","","","",""
"414","","","","","",""
"415","","","","","",""
"416","","","","","",""
"417","","","","","",""
"418","","","","","",""
"419","","","","","",""
"420","","","","","",""
"421","","","","","",""
"422","","","","","",""
"423","","","","","",""
"424","","","","","",""
"425","","","","","",""
"426","","","","","",""
"427","","","","","",""
"428","","","","","",""
"429","","","","","",""
"430","","","","","",""
"431","","","","","",""
"432","","","","","",""
"433","","","","","",""
"434","","","","","",""
"435","","","","","",""
"436","","","","","",""
"437","","","","","",""
"438","","","","","",""
"439","","","","","",""
"440","","","","","",""
"441","","","","","",""
"442","","","","","",""
"443","","","","","",""
"444","","","","","",""
"445","","","","","",""
"446","","","","","",""
"447","","","","","",""
"448","","","","","",""
"449","","","","","",""
"450","","","","","",""
"451","","","","","",""
"452","","","","","",""
"453","","","","","",""
"454","","","","","",""
"455","","","","","",""
"456","","","","","",""
"457","","","","","",""
"458","","","","","",""
"459","","","","","",""
"460","","","","","",""
"461","","","","","",""
"462","","","","","",""
"463","","","","","",""
"464","","","","","",""
"465","","","","","",""
"466","","","","","",""
"467","","","","","",""
"468","","","","","",""
"469","","","","","",""
"470","","","","","",""
"471","","","","","",""
"472","","","","","",""
"473","","","","","",""
"474","","","","","",""
"475","","","","","",""
"476","","","","","",""
"477","","","","","",""
"478","","","","","",""
"48516","","","","","",""
"162997","","","","","",""
